paths,mc_price,std_error,abs_error,av_price,av_std_error,av_abs_error
100,13.6211,1.68553,3.17051,13.3083,1.31792,2.85767
300,10.2474,0.907042,0.203221,11.8209,0.682434,1.37031
1000,10.7783,0.491342,0.327695,10.635,0.340532,0.18445
3000,11.2077,0.287153,0.757113,10.5756,0.190611,0.125059
10000,10.6298,0.148182,0.179223,10.5167,0.104093,0.0661183
30000,10.564,0.0854401,0.113407,10.4524,0.0604087,0.00182934
100000,10.512,0.0468557,0.0614486,10.452,0.0328086,0.00145361
300000,10.4909,0.0269666,0.0402964,10.4712,0.0190353,0.0205811
1000000,10.4723,0.0147496,0.0217595,10.4499,0.0104254,0.000712975
3000000,10.4479,0.00850233,0.00272653,10.45,0.00600998,0.000542851
10000000,10.4501,0.00465545,0.000482479,10.4542,0.00329053,0.00361323
